WTP
1
1
1,25
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
1,5
2
2
2
2
2
2
2
2
2,5
2,5
2,5
2,5
2,5
2,5
3
3
3
3
3
3
3,5
3,5
4
4
4,5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
6
6
7,5
7,5
7,5
7,5
7,5
7,5
7,5
7,5
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
10
12,5
12,5
12,5
12,5
12,5
